id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
93,El Grande,7.75495,89,2,5,120,60,120,"['Hans im Glück', '999 Games', 'Användbart Litet Företag', 'Descartes Editeur', 'Devir', 'Feelindigo', 'Filosofia Éditions', 'Gabinete Lúdico', 'Gém Klub Kft.', 'Giochi Uniti', 'Lautapelit.fi', 'Lucky Duck Games', 'MINDOK', 'Möbius Games', 'Rio Grande Games']","['Medieval', 'Renaissance']"
94,Union Pacific,7.19057,968,2,6,90,90,90,"['AMIGO', '999 Games', 'Rio Grande Games']","['Economic', 'Trains']"
95,Igel Ärgern,6.40574,4321,2,6,30,30,30,"['Doris & Frank', 'University Games']","['Animals', ""Children's Game"", 'Dice']"
96,Broadsides & Boarding Parties,6.21341,7196,2,2,60,60,60,"[""Citadel's Game Series (CGS)"", 'Milton Bradley']","['Nautical', 'Pirates', 'Wargame']"
97,Conquest of the Empire,6.29025,5308,2,6,240,180,240,['Milton Bradley'],"['Ancient', 'Economic', 'Wargame']"
98,Axis & Allies,6.57465,1771,2,5,180,180,180,"['Jedko Games', 'Milton Bradley', 'Nova Game Designs', 'PewterCraft']","['Economic', 'Wargame', 'World War II']"
99,Fortress America,6.71713,2367,2,4,180,180,180,['Milton Bradley'],"['Science Fiction', 'Wargame']"
,,,,,,,,,,
101,Detroit-Cleveland Grand Prix,6.77888,3196,2,6,60,60,60,['Mayfair Games'],"['Card Game', 'Racing']"
102,Klunker,6.19667,5443,3,5,30,30,30,"['Hans im Glück', 'Rio Grande Games']",['Card Game']
103,Titan,6.96848,1468,2,6,240,30,240,"['The Avalon Hill Game Co', 'Gorgonstar Publications', 'Heidelberger Spieleverlag', 'Valley Games, Inc.']","['Fantasy', 'Wargame']"
104,Extrablatt,6.97926,6227,3,4,90,90,90,['Moskito Spiele'],['Territory Building']
105,Colossal Arena,6.76319,1283,2,5,60,40,60,"['The Avalon Hill Game Co', 'Altar Games', 'Delta Vision Publishing', 'Edge Entertainment', 'Fantasy Flight Games', 'Hobby Japan', 'Korea Boardgames', 'Lautapelit.fi', 'Midgaard Games', 'Nexus Editrice', 'Swan Panasia Co., Ltd.', 'Ubik']","['Card Game', 'Fantasy', 'Mythology']"
